,mbfc__Event_Date__c,mbfc__Location_text__c,mbfc__Notation_Type__c,mbfc__Register_Entry_Type__c,mbfc__Ordination_Type__c,mbfc__Celebrant__c,mbfc__Contact__c,Archdpdx_Job_Id__c,Archdpdx_Migration_Id__c
851,1987-05-17,"St. Patrick Parish, Mount Savage, MD",Proof of Baptism,Notation,,,003Dx00000nKiyVIAS,124,2734_Notation_ProofofBaptismnan
852,2004-04-21,"Our Lady of the Desert, Apple Valley, CA",Notice of Confirmation,Notation,,,003Dx00000nKiyVIAS,124,2734_Notation_NoticeofConfirmationnan
853,2019-08-17,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKiyaIAC,124,2004_Notation_NoticeofHolyOrdersDiaconate
854,2020-05-23,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZKIA0,003Dx00000nKiyaIAC,124,2004_Notation_NoticeofHolyOrdersPresbyteral
855,1975-05-10,,Notice of Holy Orders,Notation,Presbyteral,,003Dx00000nKiyhIAC,124,2074_Notation_NoticeofHolyOrdersPresbyteral
856,1987-08-28,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZQIA0,,124,772_Notation_NoticeofHolyOrdersPresbyteral
857,1998-07-04,Moshi Tanzania,Notice of Holy Orders,Notation,Presbyteral,,003Dx00000nKiyoIAC,124,806_Notation_NoticeofHolyOrdersPresbyteral
858,1976-06-19,"St. Mary Magdalene, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKj2cIAC,003Dx00000nKiyzIAC,124,706_Notation_NoticeofHolyOrdersPresbyteral
859,1931-02-01,"St. James Church, Jamestown, ND",Proof of Baptism,Notation,,,003Dx00000nKizAIAS,124,641_Notation_ProofofBaptismnan
860,1962-06-07,"St. Patrick’s Seminary, Menlo Park, CA",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKizAIAS,124,641_Notation_NoticeofHolyOrdersDiaconate
861,1962-06-16,"St. Aloysius Church, Spokane, WA",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjdMIAS,003Dx00000nKizAIAS,124,641_Notation_NoticeofHolyOrdersPresbyteral
862,1955-03-13,"St. Joan of Arc, Los Angeles CA",Proof of Baptism,Notation,,,003Dx00000nKizDIAS,124,104_Notation_ProofofBaptismnan
863,1993-10-09,,Notice of Matrimony,Notation,,,003Dx00000nKizDIAS,124,104_Notation_NoticeofMatrimonynan
864,2009-04-18,"Basilica of the Sacred Heart, Notre Dame, IN",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjOGIA0,003Dx00000nKizFIAS,124,591_Notation_NoticeofHolyOrdersPresbyteral
865,2002-09-29,"St. Therese Parish, Portland, OR",Proof of Baptism,Notation,,,003Dx00000nKizKIAS,124,2027_Notation_ProofofBaptismnan
866,2017-05-13,"St. Mary Magdalene Parish, Portland, OR",Notice of Confirmation,Notation,,,003Dx00000nKizKIAS,124,2027_Notation_NoticeofConfirmationnan
867,1967-05-21,"Pomeroy, WA",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjdMIAS,003Dx00000nKizTIAS,124,707_Notation_NoticeofHolyOrdersPresbyteral
868,1962-05-27,"St. Martin’s Chapel, Ft. Belvoir, VA",Proof of Baptism,Notation,,,003Dx00000nKizVIAS,124,2026_Notation_ProofofBaptismnan
869,1976-03-06,"St. Raymond’s Maronite, St. Louis, MO",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjcKIAS,003Dx00000nKizWIAS,124,708_Notation_NoticeofHolyOrdersPresbyteral
870,2001-10-27,"St. Elizabeth of Hungary, Portland",Proof of Baptism,Notation,,,003Dx00000nKizbIAC,124,1590_Notation_ProofofBaptismnan
871,2017-05-30,"St. Stephen Parish, Portland, OR",Notice of Confirmation,Notation,,,003Dx00000nKizbIAC,124,1590_Notation_NoticeofConfirmationnan
872,2002-11-30,,Notice of Matrimony,Notation,,,003Dx00000nKizhIAC,124,123_Notation_NoticeofMatrimonynan
873,1968-06-29,"Blessed Sacrament, Portland",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjaDIAS,003Dx00000nKiziIAC,124,709_Notation_NoticeofHolyOrdersPresbyteral
874,1971-12-26,,Notice of Matrimony,Notation,,,003Dx00000nKizkIAC,124,413_Notation_NoticeofMatrimonynan
875,1947-05-11,"Our Lady of Refuge, Brooklyn, NY",Proof of Baptism,Notation,,,003Dx00000nKizlIAC,124,412_Notation_ProofofBaptismnan
876,1971-12-26,,Notice of Matrimony,Notation,,,003Dx00000nKizlIAC,124,412_Notation_NoticeofMatrimonynan
877,2007-05-19,"Basilica of Our Lady of Perpetual Help, Brooklyn, NY",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKizlIAC,124,412_Notation_NoticeofHolyOrdersDiaconate
878,1970-06-20,"All Saints, Portland",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjaDIAS,003Dx00000nKizmIAC,124,808_Notation_NoticeofHolyOrdersPresbyteral
879,2011-06-04,Portland,Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjOGIA0,003Dx00000nKjFtIAK,124,581_Notation_NoticeofHolyOrdersPresbyteral
880,1991-11-09,,Notice of Matrimony,Notation,,,003Dx00000nKjFvIAK,124,13_Notation_NoticeofMatrimonynan
881,1937-10-24,"St. Mary Immaculate, Richmond Hill, Ontario, Canada",Proof of Baptism,Notation,,,003Dx00000nKjFwIAK,124,304_Notation_ProofofBaptismnan
882,1991-11-09,,Notice of Matrimony,Notation,,,003Dx00000nKjFwIAK,124,304_Notation_NoticeofMatrimonynan
883,2000-12-09,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjFwIAK,124,304_Notation_NoticeofHolyOrdersDiaconate
884,1950-04-03,"Parroquia del Santo Christo Milagroso, Tanhuato, Mich, MX",Proof of Baptism,Notation,,,003Dx00000nKjG0IAK,124,120_Notation_ProofofBaptismnan
885,1985-01-01,,Notice of Matrimony,Notation,,,003Dx00000nKjG0IAK,124,120_Notation_NoticeofMatrimonynan
886,2006-05-21,"Cathedral, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjG4IAK,124,710_Notation_NoticeofHolyOrdersDiaconate
887,2007-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjOGIA0,003Dx00000nKjG4IAK,124,710_Notation_NoticeofHolyOrdersPresbyteral
888,1981-10-10,,Proof of Baptism,Notation,,,003Dx00000nKjG8IAK,124,2749_Notation_ProofofBaptismnan
889,2004-09-14,,Notice of Confirmation,Notation,,,003Dx00000nKjG8IAK,124,2749_Notation_NoticeofConfirmationnan
890,1964-06-13,Mission Dolores Basilica San Francisco,Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjcjIAC,003Dx00000nKjGBIA0,124,711_Notation_NoticeofHolyOrdersPresbyteral
891,1944-04-15,"Parroquia de San Miguelito, San Luis Potosí, Mexico",Proof of Baptism,Notation,,,003Dx00000nKjGEIA0,124,223_Notation_ProofofBaptismnan
892,1965-07-24,,Notice of Matrimony,Notation,,,003Dx00000nKjGEIA0,124,223_Notation_NoticeofMatrimonynan
893,1993-11-05,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjGEIA0,124,223_Notation_NoticeofHolyOrdersDiaconate
894,1965-07-24,,Notice of Matrimony,Notation,,,003Dx00000nKjGFIA0,124,248_Notation_NoticeofMatrimonynan
895,1995-05-21,"St. Mary Parish, Mount Angel, OR",Proof of Baptism,Notation,,,003Dx00000nKjGJIA0,124,3041_Notation_ProofofBaptismnan
896,2018-05-15,"St. Joseph Parish, Salem, OR",Notice of Confirmation,Notation,,,003Dx00000nKjGJIA0,124,3041_Notation_NoticeofConfirmationnan
897,1948-05-09,"Our Lady of Loretto, Los Angeles CA",Proof of Baptism,Notation,,,003Dx00000nKjGPIA0,124,118_Notation_ProofofBaptismnan
898,1968-12-07,,Notice of Matrimony,Notation,,,003Dx00000nKjGPIA0,124,118_Notation_NoticeofMatrimonynan
899,1999-06-12,"Blessed Junipero Serra Church, Camarillo CA",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjGPIA0,124,118_Notation_NoticeofHolyOrdersDiaconate
900,1968-12-07,,Notice of Matrimony,Notation,,,003Dx00000nKjGQIA0,124,249_Notation_NoticeofMatrimonynan
901,2001-04-15,"Holy Redeemer Church, Puliyangidi, India",Proof of Baptism,Notation,,,003Dx00000nKjGUIA0,124,2757_Notation_ProofofBaptismnan
902,2015-07-03,"St. Joseph’s Major Seminary, Khammam, India",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjGUIA0,124,2757_Notation_NoticeofHolyOrdersDiaconate
903,2016-05-08,"Our Lady of Lourdes Church, Vellaigoundanpatti, Puliyangudie, India",Notice of Holy Orders,Notation,Presbyteral,,003Dx00000nKjGUIA0,124,2757_Notation_NoticeofHolyOrdersPresbyteral
904,1959-03-14,Malta,Notice of Holy Orders,Notation,Presbyteral,,003Dx00000nKjGZIA0,124,592_Notation_NoticeofHolyOrdersPresbyteral
905,2004-05-01,,Notice of Matrimony,Notation,,,003Dx00000nKjGpIAK,124,203_Notation_NoticeofMatrimonynan
906,1981-09-11,"St. John, Oregon City",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKj2cIAC,003Dx00000nKjGqIAK,124,828_Notation_NoticeofHolyOrdersPresbyteral
907,1978-08-15,"St. Mary, Pendleton",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjaNIAS,003Dx00000nKjH0IAK,124,854_Notation_NoticeofHolyOrdersPresbyteral
908,2001-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjOGIA0,003Dx00000nKjH2IAK,124,873_Notation_NoticeofHolyOrdersPresbyteral
909,1995-08-19,"St. John the Baptist, Milwaukie",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZQIA0,003Dx00000nKjH3IAK,124,358_Notation_NoticeofHolyOrdersPresbyteral
910,1981-12-26,,Notice of Matrimony,Notation,,,003Dx00000nKjHBIA0,124,193_Notation_NoticeofMatrimonynan
911,1982-10-10,,Notice of Matrimony,Notation,,,003Dx00000nKjHCIA0,124,136_Notation_NoticeofMatrimonynan
912,1982-02-28,"Our Lady of Lourdes Parish, Colusa, CA",Proof of Baptism,Notation,,,003Dx00000nKjHDIA0,124,2250_Notation_ProofofBaptismnan
913,1990-02-21,"El Sagrado Corazon, El Salvador, Mexico",Notice of Confirmation,Notation,,,003Dx00000nKjHDIA0,124,2250_Notation_NoticeofConfirmationnan
914,1965-05-21,"San José Parish, Maracaibo, Venezuela",Proof of Baptism,Notation,,,003Dx00000nKjHFIA0,124,2764_Notation_ProofofBaptismnan
915,1990-08-03,"Nuestra Sra. Del Rosario Parish, Maracaibo, Venezuela",Notice of Confirmation,Notation,,,003Dx00000nKjHFIA0,124,2764_Notation_NoticeofConfirmationnan
916,1991-09-14,,Notice of Matrimony,Notation,,,003Dx00000nKjHFIA0,124,2764_Notation_NoticeofMatrimonynan
917,2019-02-22,"Co-Cathedral of the Sacred Heart, Houston, TX",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjHFIA0,124,2764_Notation_NoticeofHolyOrdersDiaconate
918,1991-09-14,,Notice of Matrimony,Notation,,,003Dx00000nKjHGIA0,124,2767_Notation_NoticeofMatrimonynan
919,1967-10-30,"Nuestra Señora de Guadalupe, Chihuahua, Mexico",Proof of Baptism,Notation,,,003Dx00000nKjHJIA0,124,112_Notation_ProofofBaptismnan
920,1993-04-24,,Notice of Matrimony,Notation,,,003Dx00000nKjHJIA0,124,112_Notation_NoticeofMatrimonynan
921,2015-10-24,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjHJIA0,124,112_Notation_NoticeofHolyOrdersDiaconate
922,1988-05-14,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,,124,1234_Notation_NoticeofHolyOrdersDiaconate
923,1989-07-15,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZQIA0,,124,1234_Notation_NoticeofHolyOrdersPresbyteral
924,1960-05-21,"Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZUIA0,003Dx00000nKjHMIA0,124,786_Notation_NoticeofHolyOrdersPresbyteral
925,1993-04-24,,Notice of Matrimony,Notation,,,003Dx00000nKjHPIA0,124,314_Notation_NoticeofMatrimonynan
926,1967-09-02,,Notice of Matrimony,Notation,,,003Dx00000nKjHTIA0,124,460_Notation_NoticeofMatrimonynan
927,2003-06-14,"St. Augustine Cathedral, Tucson, Arizona",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjHTIA0,124,460_Notation_NoticeofHolyOrdersDiaconate
928,1967-09-02,,Notice of Matrimony,Notation,,,003Dx00000nKjHUIA0,124,461_Notation_NoticeofMatrimonynan
929,2004-05-22,"St. Joseph Parish, Salem, OR",Notice of Matrimony,Notation,,,003Dx00000nKjHWIA0,124,2876_Notation_NoticeofMatrimonynan
930,1971-12-09,"Parroquia de Corazón de Jesús, Tecuala, Nayarit, Mexico",Proof of Baptism,Notation,,,003Dx00000nKjHXIA0,124,140_Notation_ProofofBaptismnan
931,1996-06-23,,Notice of Matrimony,Notation,,,003Dx00000nKjHXIA0,124,140_Notation_NoticeofMatrimonynan
932,1977-07-10,"St. Joseph the Worker Parish, Wyoming, MI",Proof of Baptism,Notation,,,003Dx00000nKjHaIAK,124,513_Notation_ProofofBaptismnan
933,1996-04-06,"St. Francis Xavier, Grand Rapids, MI",Notice of Confirmation,Notation,,,003Dx00000nKjHaIAK,124,513_Notation_NoticeofConfirmationnan
934,2004-05-22,"St. Joseph Parish, Salem, OR",Notice of Matrimony,Notation,,,003Dx00000nKjHaIAK,124,513_Notation_NoticeofMatrimonynan
935,2017-02-01,,Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjHcIAK,124,2023_Notation_NoticeofHolyOrdersDiaconate
936,2017-09-09,"St. James Proto-Cathedral, Vancouver, WA",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjdRIAS,003Dx00000nKjHcIAK,124,2023_Notation_NoticeofHolyOrdersPresbyteral
937,1924-09-28,"St. Anthony, Long Beach CA",Proof of Baptism,Notation,,,003Dx00000nKjHdIAK,124,230_Notation_ProofofBaptismnan
938,1961-05-19,,Notice of Matrimony,Notation,,,003Dx00000nKjHdIAK,124,230_Notation_NoticeofMatrimonynan
939,1993-11-05,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjHdIAK,124,230_Notation_NoticeofHolyOrdersDiaconate
940,1961-05-19,,Notice of Matrimony,Notation,,,003Dx00000nKjHeIAK,124,99_Notation_NoticeofMatrimonynan
941,2001-04-15,"Community Bible Fellowship, Portland, OR",Proof of Baptism,Notation,,,003Dx00000nKjHgIAK,124,2069_Notation_ProofofBaptismnan
942,2018-03-31,"St. Stephens Parish, Portland, OR",Notice of Confirmation,Notation,,,003Dx00000nKjHgIAK,124,2069_Notation_NoticeofConfirmationnan
943,1957-06-01,"St. Anne, Grants Pass OR",Proof of Baptism,Notation,,,003Dx00000nKjHiIAK,124,149_Notation_ProofofBaptismnan
944,1976-08-09,,Notice of Matrimony,Notation,,,003Dx00000nKjHiIAK,124,149_Notation_NoticeofMatrimonynan
945,1950-05-28,"St Joseph, El Paso TX",Proof of Baptism,Notation,,,003Dx00000nKjHjIAK,124,774_Notation_ProofofBaptismnan
946,1977-03-19,"St Michael Church, Brooklyn, NY",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKjHjIAK,124,774_Notation_NoticeofHolyOrdersDiaconate
947,1978-05-27,"St. Patrick Cathedral, New York, New York",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZPIA0,003Dx00000nKjHjIAK,124,774_Notation_NoticeofHolyOrdersPresbyteral
948,1936-09-22,"New Salem, ND",Proof of Baptism,Notation,,,003Dx00000nKjHmIAK,124,713_Notation_ProofofBaptismnan
949,1949-05-20,,Notice of Confirmation,Notation,,,003Dx00000nKjHmIAK,124,713_Notation_NoticeofConfirmationnan
950,1966-05-14,"Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZUIA0,003Dx00000nKjHmIAK,124,713_Notation_NoticeofHolyOrdersPresbyteral
